Data Terms of Use,https://www.edf.org/airqualitymaps/download-oakland-air-pollution-data ,,,
Longitude,Latitude,NO Value,NO2 Value,BC Value
-122.1842493,37.73074859,4.600000009,8.620629876,0.428480323
-122.1842493,37.75707762,1.939393982,7.422736635,0.306022927
-122.1842469,37.73920141,2.083333432,6.138999999,0.351635346
-122.1842444,37.7529177,3.352941192,6.263901169,0.131876341
-122.1842281,37.73399969,4.5714287,8.186855063,0.380516197
-122.1842273,37.73182052,4.126984212,8.909033542,0.215529709
-122.1842192,37.72770349,9.330357169,11.49920793,0.381258318
-122.1842184,37.73007351,3.783046035,12.07866669,0.55674365
-122.1842176,37.74999602,6.0391083,9.3716583,0.388582411
-122.1842112,37.73834614,3.102665938,6.849777996,0.423842912
-122.1842074,37.75506454,1.386495582,5.81825006,0.264410785
-122.1841989,37.73974206,2.960526342,5.564102219,0.300531397
-122.1841973,37.74898837,5.333333587,6.546740303,0.521277252
-122.1841921,37.73465775,15.41013809,14.2618713,0.647464868
-122.1841877,37.73669369,7.600000128,9.65914834,0.37868565
-122.1841867,37.75811719,4.998696813,8.199518648,0.241501141
-122.1841699,37.75870211,3.469879548,5.146696446,0.118748453
-122.184155,37.73208472,2.024393168,7.135551169,0.225678855
-122.1841548,37.73817637,2.250000005,6.657842139,0.291778367
-122.1841494,37.7348938,22.66666707,14.66251462,0.36631195
-122.1841444,37.73498882,16.98571412,11.96217772,0.367140431
-122.1841389,37.7428695,13.41935548,11.55918874,0.649720515
-122.1841332,37.76015917,2.326023411,6.669248294,0.161519487
-122.1841297,37.74268257,12.64999979,11.19190717,1.091755526
-122.1841136,37.73493669,11.29623268,11.15050544,0.478868171
-122.1841135,37.74362678,10.54605263,10.72266642,0.52939661
-122.1841107,37.72806249,8.433333616,10.89745333,0.288754616
-122.1840997,37.72945088,4.210526332,10.94727282,0.510324113
-122.1840989,37.76112636,11.39814786,13.4447322,0.42029457
-122.1840973,37.75077054,3.52000013,9.196199989,0.249261459
-122.1840848,37.73234929,2.696608212,7.172083457,0.307217989
-122.1840709,37.74732957,4.676470653,12.18893487,0.346124123
-122.1840675,37.73088708,3.589285692,6.811418769,0.30164867
-122.1840565,37.73052577,4.444444483,10.41467384,0.367913984
-122.1840462,37.75628933,3.399999999,7.313217294,0.215388671
-122.1840377,37.73715067,5.357142973,5.420645129,0.346319692
-122.1840309,37.72747821,8.886065344,11.37746188,0.527512345
-122.1840283,37.75214424,3.901098814,5.732999195,0.37751017
-122.1840147,37.73261386,2.755376421,7.176374972,0.132390198
-122.1840107,37.75392964,3.000000104,7.766110897,0.320650254
-122.1840097,37.7613418,15.92592557,15.97812663,0.713147442
-122.1840094,37.74825084,3.999999957,5.445558323,0.181851724
-122.1839953,37.73938352,3.000000142,5.776499987,0.291972287
-122.1839948,37.75113983,2.600732603,6.0954687,0.304318154
-122.1839852,37.75724834,2.79797984,7.492050768,0.252406411
-122.1839847,37.734872,15.27709389,11.24887502,0.43070418
-122.1839802,37.74721702,4.800000042,10.11477328,0.424551161
-122.1839795,37.73512731,24.95161426,16.68686852,0.41018742
-122.183978,37.73814911,2.029850725,6.15533344,0.283002135
-122.183975,37.73953838,1.863636452,5.228070267,0.321306711
-122.1839728,37.7288416,5.750000157,10.05304452,0.333246049
-122.1839688,37.7341749,4.310344832,8.430799675,0.214834208
-122.1839634,37.75771862,8.000000136,9.484091022,0.405963551
-122.1839598,37.73183299,3.750000033,7.501883631,0.080173577
-122.1839552,37.75306038,3.088235287,6.111058234,0.016955817
-122.1839445,37.73287843,2.011904846,7.137825,0.32236095
-122.1839433,37.7552352,1.777777862,5.440999985,0.019949501
-122.1839381,37.73022704,4.21015866,12.24499989,0.347542119
-122.1839248,37.75013404,5.95288271,9.028365415,0.290839667
-122.1839223,37.75828759,1.393162432,4.802654943,0.170783501
-122.1839111,37.75054417,2.800000086,8.731000328,0.375237607
-122.1839056,37.75887266,2.152946553,4.65661213,0.095451045
-122.1839054,37.74912754,3.500000108,6.525878875,0.539470598
-122.1839053,37.74267279,10.49999986,10.90146944,0.652569792
-122.1839036,37.73835891,1.744186089,7.696242583,0.205592965
-122.1838861,37.74710249,5.975609623,10.37906755,0.374189586
-122.1838743,37.73314301,1.989333344,7.121166706,0.222143942
